item,total_cost
dccc17PeterGallotta,23133.0
dccc17KristinHardy,53544.0
dccc17EmmaHeiken,53969.0
dccc17LilyHo,70974.0
dccc17JohnAvalos,16361.0
dccc17CedricAkbar,37666.0
dccc17NancyTung,87248.0
dccc17FrankTizedes,273.0
dccc17MichaelLai,225960.0
dccc17JeremyLee,15934.0
dccc17LauranceLemLee,0.0
dccc17PeterHoLikLee,0.0
dccc17TrevorChandler,58608.0
dccc17VickChung,14459.0
dccc17ChristopherChristensen,0.0
dccc17CarrieBarnes,141043.0
dccc17PatrickBell,57231.0
dccc17GloriaBerry,13644.0
dccc17AdolfoVelasquez,17453.0
dccc17MichaelNguyen,20287.0
dccc17LynWerbach,48067.0
dccc17JoeSangirardi,48385.0
dccc17SydneySimpson,23490.0
dccc17JoshuaRudyOchoa,15455.0
dccc17LuisZamora,34574.0
dccc17MattDorsey,130634.0
dccc17SalRosselli,89329.0
dccc17JaneKim,39302.0
dccc17BilalMahmood,274675.0
dccc17AnitaMartinez,16572.0
dccc19ParagGupta,54543.0
dccc19NatalieGee,27318.0
dccc19GregHardeman,56904.0
dccc19FrancesHsieh,19890.0
dccc19MichelaAliotoPier,117028.0
dccc19JadeTu,43782.0
dccc19LeahLacroix,12199.0
dccc19SandraLeeFewer,0.0
dccc19ConnieChan,61276.0
dccc19MikeChen,56808.0
dccc19QueenaChen,15691.0
dccc19DanCalamuci,58752.0
dccc19LanierColes,92538.0
dccc19SaraBarz,52344.0
dccc19JenNossokoff,900.0
dccc19CatherineStefani,121736.0
dccc19MarjanPhilhour,248100.0
dccc19ManoRaju,21357.0
dccc19HeneKelly,15247.0
dccc19GordonMar,19121.0
dccc19BrianQuan,52817.0
