item,votes
propAyes,158391
propAno,66630
propByes,61527
propBno,161262
propCyes,116229
propCno,103956
propDyes,198434
propDno,24016
propEyes,120435
propEno,102217
propFyes,130127
propFno,93709
propGyes,181937
propGno,40601
judge1MichaelBegert,124850
judge1ChipZecher,77956
judge13PatrickThompson,112290
judge13JeanRoland,89944
dccc17PeterGallotta,29671
dccc17KristinHardy,24812
dccc17EmmaHeiken,33182
dccc17LilyHo,34324
dccc17JohnAvalos,32495
dccc17CedricAkbar,29309
dccc17NancyTung,35747
dccc17FrankTizedes,2550
dccc17MichaelLai,32788
dccc17JeremyLee,28596
dccc17LauranceLemLee,28367
dccc17PeterHoLikLee,28454
dccc17TrevorChandler,34226
dccc17VickChung,25797
dccc17ChristopherChristensen,4793
dccc17CarrieBarnes,30611
dccc17PatrickBell,22971
dccc17GloriaBerry,24393
dccc17AdolfoVelasquez,23977
dccc17MichaelNguyen,29702
dccc17LynWerbach,29088
dccc17JoeSangirardi,31344
dccc17SydneySimpson,26740
dccc17JoshuaRudyOchoa,24904
dccc17LuisZamora,28435
dccc17MattDorsey,41706
dccc17SalRosselli,24540
dccc17JaneKim,31789
dccc17BilalMahmood,34387
dccc17AnitaMartinez,26783
dccc19ParagGupta,24457
dccc19NatalieGee,19695
dccc19GregHardeman,16473
dccc19FrancesHsieh,18416
dccc19MichelaAliotoPier,26926
dccc19JadeTu,23257
dccc19LeahLacroix,17515
dccc19SandraLeeFewer,18347
dccc19ConnieChan,23379
dccc19MikeChen,23548
dccc19QueenaChen,15399
dccc19DanCalamuci,21386
dccc19LanierColes,21745
dccc19SaraBarz,20808
dccc19JenNossokoff,3402
dccc19CatherineStefani,36161
dccc19MarjanPhilhour,24605
dccc19ManoRaju,18552
dccc19HeneKelly,16520
dccc19GordonMar,21576
dccc19BrianQuan,21240
