contest,count,votes,race
Peter Gallotta,29090,31.817734367309438,DCCC
Kristin Hardy,24325,26.6059260393538,DCCC
Emma Heiken,32678,35.74217681866407,DCCC
Lily Ho,33769,36.93547857853807,DCCC
John Avalos,31792,34.773097662616074,DCCC
Cedric Akbar,28805,31.506010259551335,DCCC
Nancy Tung,35210,38.511599418115,DCCC
Frank Tizedes,2495,2.7289531538823324,DCCC
Michael Lai,32239,35.26201231583668,DCCC
Jeremy Lee,28017,30.644120445820164,DCCC
Laurance Lem Lee,27916,30.533649797105888,DCCC
Peter Ho Lik Lee,28006,30.632088989029498,DCCC
Trevor Chandler,33676,36.833758080217,DCCC
Vick Chung,25329,27.70406991370164,DCCC
Christopher Christensen,4692,5.131963205617597,DCCC
Carrie Barnes,30140,32.966191606418235,DCCC
Patrick Bell,22500,24.609797980902798,DCCC
Gloria Berry,23912,26.154199525304342,DCCC
Adolfo Velasquez,23462,25.662003565686284,DCCC
Michael Nguyen,29126,31.857110044078883,DCCC
Lyn Werbach,28656,31.343038708477803,DCCC
Joe Sangirardi,30842,33.734017303422405,DCCC
Sydney Simpson,26230,28.689555601736906,DCCC
Joshua Rudy Ochoa,24406,26.69452131208505,DCCC
Luis Zamora,27994,30.618963763439684,DCCC
Matt Dorsey,41035,44.88280267317094,DCCC
Sal Rosselli,24101,26.360921828343926,DCCC
Jane Kim,31213,34.13980552790751,DCCC
Bilal Mahmood,33841,37.01422993207696,DCCC
Anita Martinez,26251,28.71252474651908,DCCC
Parag Gupta,24074,33.932372052377126,DCCC
Natalie Gee,19381,27.31757509126531,DCCC
Greg Hardeman,16199,22.83253696421272,DCCC
Frances Hsieh,18124,25.545829985764023,DCCC
Michela Alioto-Pier,26553,37.42652966298787,DCCC
Jade Tu,22921,32.30721524518302,DCCC
Leah Lacroix,17241,24.30123895302127,DCCC
Sandra Lee Fewer,18069,25.468307328005412,DCCC
Connie Chan,23036,32.46930807504193,DCCC
Mike Chen,23203,32.70469505405443,DCCC
Queena Chen,15180,21.396253541375955,DCCC
Dan Calamuci,21090,29.72641549325553,DCCC
Lanier Coles,21445,30.22678901151564,DCCC
Sara Barz,20505,28.901856315277602,DCCC
Jen Nossokoff,3329,4.692235048698324,DCCC
Catherine Stefani,35676,50.28542433083852,DCCC
Marjan Philhour,24250,34.18044455720467,DCCC
Mano Raju,18276,25.760074421751447,DCCC
Hene Kelly,16255,22.91146912483967,DCCC
Gordon Mar,21265,29.973078495214736,DCCC
Brian Quan,20938,29.5121710572681,DCCC
