contest,slate
Adolfo Velasquez,progressive
Anita Martinez,progressive
Bilal Mahmood,moderate
Brian Quan,moderate
Carrie Barnes,moderate
Catherine Stefani,moderate
Cedric Akbar,moderate
Connie Chan,progressive
Dan Calamuci,moderate
Emma Heiken,moderate
Frances Hsieh,progressive
Gloria Berry,progressive
Greg Hardeman,progressive
Hene Kelly,progressive
Jade Tu,moderate
Jane Kim,progressive
Jeremy Lee,progressive
Joe Sangirardi,moderate
John Avalos,progressive
Joshua Ochoa,progressive
Kristin Hardy,progressive
Lanier Coles,moderate
Laurance Lee,moderate
Leah Lacroix,progressive
Lily Ho,moderate
Luis Zamora,moderate
Lyn Werbach,moderate
Mano Raju,progressive
Marjan Philhour,moderate
Matt Dorsey,moderate
Mike Chen,moderate
Michael Lai,moderate
Michael Nguyen,progressive
Michela Alioto-Pier,moderate
Nancy Tung,moderate
Natalie Gee,progressive
Parag Gupta,moderate
Patrick Bell,progressive
Peter Gallotta,progressive
Peter Lee,moderate
Queena Chen,progressive
Sal Rosselli,progressive
Sandra Fewer,progressive
Sara Barz,moderate
Sydney Simpson,progressive
Trevor Chandler,moderate
Vick Chung,progressive
Gordon Mar,progressive
