date,high,avg,low
2022-09-01,80.4,65.8,52.0
2022-09-02,85.8,64.6,48.4
2022-09-03,88.9,70.5,52.3
2022-09-04,91.4,76.6,56.1
2022-09-05,98.1,70.4,62.8
2022-09-06,100.8,66.6,62.4
2022-09-07,89.6,68.0,58.8
2022-09-08,97.3,73.7,59.4
2022-09-09,88.7,70.5,52.7
2022-09-10,91.9,73.2,58.3
2022-09-11,78.4,70.7,62.8
2021-09-01,67.8,61.6,56.1
2021-09-02,76.8,62.4,52.3
2021-09-03,75.4,62.3,49.8
2021-09-04,81.1,65.7,50.9
2021-09-05,79.3,63.8,51.4
2021-09-06,85.6,70.3,53.1
2021-09-07,81.9,71.1,56.7
2021-09-08,84.6,72.8,55.8
2021-09-09,72.0,65.3,57.4
2021-09-10,75.6,64.9,49.6
2021-09-11,78.6,64.0,47.1
2020-09-01,81.3,68.9,53.8
2020-09-02,70.2,65.9,61.0
2020-09-03,86.0,73.6,62.2
2020-09-04,82.8,70.4,52.7
2020-09-05,80.6,65.9,49.1
2020-09-06,82.2,71.6,58.5
2020-09-07,82.9,71.0,58.6
2020-09-08,86.5,73.4,62.8
2020-09-09,81.9,71.1,62.6
2020-09-10,78.6,71.8,64.9
2020-09-11,76.3,65.7,48.9
2019-09-01,79.2,67.1,52.5
2019-09-02,69.8,64.0,59.9
2019-09-03,81.5,67.4,56.3
2019-09-04,77.9,66.6,56.5
2019-09-05,73.8,64.2,50.5
2019-09-06,68.5,60.4,50.0
2019-09-07,74.8,63.2,51.6
2019-09-08,74.5,64.7,50.4
2019-09-09,74.5,62.9,47.1
2019-09-10,71.4,64.5,54.0
2019-09-11,86.7,74.1,55.8
2018-09-01,75.0,65.4,54.9
2018-09-02,84.6,70.3,54.9
2018-09-03,95.4,76.2,56.1
2018-09-04,91.9,76.1,56.3
2018-09-05,92.8,74.4,56.5
2018-09-06,74.1,60.3,54.9
2018-09-07,75.0,60.8,54.1
2018-09-08,75.9,62.2,55.9
2018-09-09,75.7,62.7,55.0
2018-09-10,77.2,63.4,54.9
2018-09-11,70.0,61.1,54.7
2017-09-02,100.0,89.3,81.0
2017-09-03,88.5,77.0,67.1
2017-09-04,79.0,71.9,66.0
2017-09-05,80.1,71.0,65.8
2017-09-06,72.9,65.8,61.5
2017-09-07,71.6,66.1,61.3
2017-09-08,68.4,62.1,59.0
2017-09-09,76.1,64.7,59.9
2017-09-10,92.3,73.7,58.5
2017-09-11,89.8,72.9,65.8
