committee_name,mean_donation,total_donation,district
VOTE MARJAN PHILHOUR FOR SUPERVISOR 2024,359.6607142857143,201410.0,D1
MICHAEL LAI FOR SUPERVISOR 2024,343.2973568281938,155857.0,D11
OSCAR FLORES FOR SUPERVISOR 2024,303.75,1215.0,D11
MATT BOSCHETTO FOR D7 SUPERVISOR 2024,299.1261682242991,128026.0,D7
SHARON LAI FOR SUPERVISOR 2024,292.85930735930737,135301.0,D3
BILAL MAHMOOD FOR SUPERVISOR 2024,289.65768621236134,182774.0,D5
MOE JAMIL FOR SUPERVISOR 2024,288.9344262295082,141000.0,D3
RE-ELECT MYRNA MELGAR FOR SUPERVISOR 2024,285.0514285714286,99768.0,D7
ROBERTO HERNANDEZ FOR SUPERVISOR 2024,275.62863534675614,123206.0,D9
JAIME GUTIERREZ FOR SUPERVISOR 2024,274.7717391304348,25279.0,D9
DANNY SAUTER FOR SUPERVISOR 2024,251.50966608084357,143109.0,D3
JULIAN BERMUDEZ FOR DISTRICT 9 SUPERVISOR 2024,248.0,1240.0,D9
SUSK FOR SUPERVISOR 2024,237.57142857142858,41575.0,D3
CONNIE CHAN FOR SUPERVISOR 2024,233.68706293706293,133669.0,D1
DEAN PRESTON FOR SUPERVISOR 2024,232.0962047661077,262965.0,D5
TREVOR CHANDLER FOR SUPERVISOR 2024,229.86285714285714,120678.0,D9
CHYANNE CHEN FOR SUPERVISOR 2024,225.11674008810573,102203.0,D11
STEPHEN MARTIN-PINTO FOR SUPERVISOR 2024,202.57943925233644,21676.0,D7
ERNEST 'EJ' JONES FOR SUPERVISOR 2024,199.67120622568095,102631.0,D11
ADLAH CHISTI FOR SUPERVISOR 2024,195.04255319148936,18334.0,D11
SCOTTY JACOBS FOR SUPERVISOR 2024,193.01652892561984,23355.0,D5
LOOIJEN FOR D5 SUPERVISOR 2024,192.45562130177515,32525.0,D5
JACKIE FIELDER FOR SUPERVISOR 2024,183.5698267074414,180082.0,D9
JEN NOSSOKOFF FOR DISTRICT 1 SUPERVISOR 2024,179.88,17988.0,D1
STEPHEN TORRES FOR SUPERVISOR 2024,176.41353383458647,23463.0,D9
EDUARD NAVARRO FOR SUPERVISOR 2024,153.0568181818182,13469.0,D3
