,incident_year,type,value
0,2015,other,41
1,2015,structure,135
2,2015,trash,166
3,2015,vehicle,21
4,2016,encampment,2
5,2016,other,44
6,2016,structure,159
7,2016,trash,185
8,2016,vehicle,15
9,2017,encampment,8
10,2017,other,30
11,2017,structure,125
12,2017,trash,183
13,2017,vehicle,22
14,2018,encampment,14
15,2018,other,35
16,2018,structure,85
17,2018,trash,178
18,2018,vehicle,18
19,2019,encampment,11
20,2019,other,35
21,2019,structure,133
22,2019,trash,208
23,2019,vehicle,18
24,2020,encampment,40
25,2020,other,37
26,2020,structure,130
27,2020,trash,393
28,2020,vehicle,25
29,2021,encampment,24
30,2021,other,20
31,2021,structure,113
32,2021,trash,272
33,2021,vehicle,21
